Date,Event,Details,Billing on,Shop name,Shop country,Shop email,Shop domain
2021-05-04 00:21:14 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-05-29,Vush Australia,AU,info@vushstimulation.com,vush-australia.myshopify.com
2021-05-04 00:30:11 UTC,Closed Store,,,XOve Baby,US,info@xovebaby.com,xove-inc.myshopify.com
2021-05-04 00:31:42 UTC,Uninstalled,"",,Viral Variety Cart,US,tntempirellc@gmail.com,cashmere-express-llc.myshopify.com
2021-05-04 00:32:00 UTC,Closed Store,,,QTforyou,NZ,Operations@qtforyou.com,qtforyou.myshopify.com
2021-05-04 00:32:01 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Kosa Incomun ,PA,americachau7741@gmail.com,storegital-2.myshopify.com
2021-05-04 00:32:17 UTC,Closed Store,,,Modern Diffuser,US,moderndiffuser@gmail.com,modern-diffuser.myshopify.com
2021-05-04 00:32:49 UTC,Usage charge applied,Basic Shopify plan - 19.99,,CinloCo,US,cinlocoinfo@gmail.com,cinlo-co-2.myshopify.com
2021-05-04 00:32:54 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Slick Fish Gear,US,fashionfishwear@gmail.com,slick-fish-gear.myshopify.com
2021-05-04 00:32:56 UTC,Usage charge applied,Shopify plan - 29.99,,La Fiebre de Viajar,CR,info@lafiebredeviajar.com,la-fiebre-de-viajar.myshopify.com
2021-05-04 00:32:57 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Deals2please,GB,ori@mgsboc.com,deal2please.myshopify.com
2021-05-04 00:32:58 UTC,Usage charge applied,Basic Shopify plan - 19.99,,PURPLENIC,CL,mypurplenic@gmail.com,purplenic.myshopify.com
2021-05-04 00:33:04 UTC,Closed Store,,,Liberty Canvas,GB,sashanov01@gmail.com,clausterpack.myshopify.com
2021-05-04 00:33:36 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Milo,CA,support@kanalifestyle.com,milo-dev.myshopify.com
2021-05-04 00:33:37 UTC,Usage charge applied,Shopify plan - 29.99,,WavMonopoly,US,info@wavmonopoly.com,wavmonopoly.myshopify.com
2021-05-04 00:33:38 UTC,Usage charge applied,Shopify Plus plan - 99.99,,Brickell Men's Products® CANADA,US,josh@brickellmensproducts.com,brickell-mens-products-canada.myshopify.com
2021-05-04 00:33:38 UTC,Usage charge applied,Shopify plan - 29.99,,Relodec,US,contact@relodec.com,relodec.myshopify.com
2021-05-04 00:33:40 UTC,Usage charge applied,Basic Shopify plan - 19.99,,DogPrince,DE,admin@dogprince.de,dogprince.myshopify.com
2021-05-04 00:33:41 UTC,Usage charge applied,Shopify Plus plan - 99.99,,aava swim - ocean’s favorite,DE,business@aavaswim.com,aava-swim.myshopify.com
2021-05-04 00:33:42 UTC,Usage charge applied,Basic Shopify plan - 19.99,,FAITH FLUX,GB,myfaithflux@gmail.com,faithflux.myshopify.com
2021-05-04 00:33:43 UTC,Usage charge applied,Shopify plan - 29.99,,Pechmarken,DE,fettbert@pechmarken.de,pechmarken.myshopify.com
2021-05-04 00:33:43 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Aurora Beauty™️,US,support@aurora-beauty.co,harborhouzz.myshopify.com
2021-05-04 00:33:45 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Stay Hungry Cloth,US,info@stayhungrycloth.com,stay-hungry-cloth.myshopify.com
2021-05-04 00:33:46 UTC,Usage charge applied,Basic Shopify plan - 19.99,,De Novoo,IN,denovoo22@gmail.com,de-novoo.myshopify.com
2021-05-04 00:33:47 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Pets Cave,ES,petscavebrand@gmail.com,healingmassage.myshopify.com
2021-05-04 00:33:47 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Good Vibes Neon,IL,sales@goodvibesneon.com,litneonstore.myshopify.com
2021-05-04 00:33:53 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Raw Boutique,US,annalisse@raw-boutique.com,raw-boutique-shop.myshopify.com
2021-05-04 00:33:56 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Ellie Shirt,VN,thomasoduong11@gmail.com,175-store.myshopify.com
2021-05-04 00:33:57 UTC,Usage charge applied,Shopify plan - 29.99,,SWIVVA,US,swivva1@gmail.com,swivva.myshopify.com
2021-05-04 00:33:58 UTC,Usage charge applied,Basic Shopify plan - 19.99,,adorableruffsx,SG,emailforshoutouts@gmail.com,adorableruffsx.myshopify.com
2021-05-04 00:33:59 UTC,Usage charge applied,Shopify Plus plan - 99.99,,RevitalTrax,NL,info@revitaltrax.org,revitaltrax-affiliates.myshopify.com
2021-05-04 00:34:00 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Cool Cats Coffee Co.,US,meow@coolcatscoffeeco.com,cool-cats-coffee-co.myshopify.com
2021-05-04 00:34:02 UTC,Usage charge applied,Basic Shopify plan - 19.99,,fuzzywuzzysupplies,SG,msulaimanworld@gmail.com,fuzzywuzzysupplies.myshopify.com
2021-05-04 00:34:11 UTC,Usage charge applied,Shopify plan - 29.99,,CCC10CCC,MY,chariceliz@hotmail.com,ccc10ccc.myshopify.com
2021-05-04 00:34:11 UTC,Usage charge applied,Shopify plan - 29.99,,The Glow Fairy,US,admin@theglowfairy.com,voyager-safety.myshopify.com
2021-05-04 00:34:15 UTC,Usage charge applied,Basic Shopify plan - 19.99,,CARYMZ,US,mycarymz@gmail.com,carymz.myshopify.com
2021-05-04 00:34:16 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Xavior,NL,info@xavior.nl,xavior-nl.myshopify.com
2021-05-04 00:34:29 UTC,Usage charge applied,Basic Shopify plan - 19.99,,GRAYL® New Zealand,NZ,bjorn@solis.nz,graylnz.myshopify.com
2021-05-04 00:34:29 UTC,Usage charge applied,Shopify plan - 29.99,,Lolo & Max,DE,sebastian.weiss@sports-health.de,lolo-und-max.myshopify.com
2021-05-04 00:34:30 UTC,Usage charge applied,Shopify plan - 29.99,,EvergreenWalls,AU,info@evergreenwalls.com.au,evergreenwalls.myshopify.com
2021-05-04 00:34:31 UTC,Usage charge applied,Basic Shopify plan - 19.99,,SafeDoggy.fr,ES,safedoggy.fr@gmail.com,safedoggy-fr.myshopify.com
2021-05-04 00:34:32 UTC,Usage charge applied,Shopify plan - 29.99,,Loisa,US,scott@loisa.com,loisa-comida-real.myshopify.com
2021-05-04 00:34:33 UTC,Usage charge applied,Advanced Shopify plan - 59.99,,ODERSO,DE,info@oderso.cool,odersolive.myshopify.com
2021-05-04 00:34:35 UTC,Usage charge applied,Basic Shopify plan - 19.99,,DukaTingz,US,mydukatingz@gmail.com,dukatingz.myshopify.com
2021-05-04 00:34:36 UTC,Usage charge applied,Shopify Plus plan - 99.99,,XXXTentacion Official Store,US,customercare@famehouse.net,xxxtentacion-official.myshopify.com
2021-05-04 00:34:37 UTC,Usage charge applied,Shopify plan - 29.99,,TRESLYN,US,treslynllc@gmail.com,treslyn.myshopify.com
2021-05-04 00:34:39 UTC,Usage charge applied,Basic Shopify plan - 19.99,,BAGGSTUFFER,US,mybaggstuffer@gmail.com,baggstuffer.myshopify.com
2021-05-04 00:34:39 UTC,Usage charge applied,Shopify plan - 29.99,,MYTREAZURES,BB,mytreazurespro@gmail.com,mytreazures.myshopify.com
2021-05-04 00:34:40 UTC,Usage charge applied,Shopify plan - 29.99,,CLIKNORDER,US,mycliknorder@gmail.com,cliknorder.myshopify.com
2021-05-04 00:34:44 UTC,Usage charge applied,Shopify plan - 29.99,,ShoppingEpics,GB,customerservice@shoppingepics.com,shoppingepics.myshopify.com
2021-05-04 00:34:45 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Sandblastkit,CA,support@sandblastkit.com,ryazik.myshopify.com
2021-05-04 00:34:46 UTC,Usage charge applied,Basic Shopify plan - 19.99,,ORYSEY,CZ,orysey@gmail.com,orysey.myshopify.com
2021-05-04 00:34:47 UTC,Usage charge applied,Basic Shopify plan - 19.99,,World Vip Store,NL,worldvipstore@gmail.com,world-vip-store.myshopify.com
2021-05-04 00:35:08 UTC,Usage charge applied,Shopify plan - 29.99,,VENAVIE,GB,myvenavie@gmail.com,venavie.myshopify.com
2021-05-04 00:35:15 UTC,Usage charge applied,Basic Shopify plan - 19.99,,DEDES LEGACY,US,dedeslegacy07@gmail.com,dedeslegacy.myshopify.com
2021-05-04 00:35:16 UTC,Closed Store,,,ChainGizmo,US,info@homebuddy.shop,fuzzlez.myshopify.com
2021-05-04 00:35:17 UTC,Recurring charge frozen,In Cart Upsell - FLEX - 0.0,,ChainGizmo,US,info@homebuddy.shop,fuzzlez.myshopify.com
2021-05-04 00:35:17 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Dollfacebeauty.com,US,josh@dollfacebeauty.com,dollfacebeauty-com.myshopify.com
2021-05-04 00:35:18 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Ballabeni Icecream GmbH,DE,alberto@ballabeni.com,ballabeni.myshopify.com
2021-05-04 00:35:19 UTC,Usage charge applied,Shopify Plus plan - 99.99,,Brickell Men's Products® UK,US,josh@brickellmensproducts.com,brickell-mens-products-uk.myshopify.com
2021-05-04 00:35:22 UTC,Usage charge applied,Basic Shopify plan - 19.99,,SAUNTERY,US,mysauntery@gmail.com,sauntery.myshopify.com
2021-05-04 00:35:29 UTC,Usage charge applied,Shopify plan - 29.99,,BUGGIRL200,US,madison@buggirl200.com,buggirl200.myshopify.com
2021-05-04 00:35:34 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Solved Lifestyle,US,solvedlifestyle@gmail.com,solved-lifestyle.myshopify.com
2021-05-04 00:35:36 UTC,Usage charge applied,Shopify plan - 29.99,,MASKINS,US,care@maskins.co,maskins-co-2.myshopify.com
2021-05-04 00:35:41 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Sophie Blacka Art,AU,sophieblackaart@gmail.com,sophie-blacka-art.myshopify.com
2021-05-04 00:35:42 UTC,Usage charge applied,Advanced Shopify plan - 59.99,,BuildFastFormula,US,Matt.coleman@buildfastformula.com,buildfastformula.myshopify.com
2021-05-04 00:35:43 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Say It Well Apparel,US,info@sayitwellapparel.com,say-it-well-apparel.myshopify.com
2021-05-04 00:35:44 UTC,Usage charge applied,Basic Shopify plan - 19.99,,"Creations by Candi Flowers, LLC",US,info@creationsbycandi.com,creations-by-candi-flowers.myshopify.com
2021-05-04 00:35:45 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Dynasty Athletics,US,info@dynastyathletics.com,lacrossewear-masks.myshopify.com
2021-05-04 00:35:46 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Fancy-&-Free-Store,US,myfancyandfree@gmail.com,fancy-free-store.myshopify.com
2021-05-04 00:35:47 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Good Flower Farm,US,hello@goodflowerfarm.com,good-flower-farm.myshopify.com
2021-05-04 00:35:48 UTC,Usage charge applied,Shopify plan - 29.99,,Montes Rustics and More,US,montesrustics@gmail.com,montes-rustics-and-more.myshopify.com
2021-05-04 00:35:49 UTC,Usage charge applied,Shopify Plus plan - 99.99,,King of Christmas,US,info@kingofchristmas.com,kingofchristmas.myshopify.com
2021-05-04 00:35:50 UTC,Usage charge applied,Basic Shopify plan - 19.99,,Second Street Services ,US,members.secondstreetservices@gmail.com,second-street-services.myshopify.com
2021-05-04 00:35:51 UTC,Usage charge applied,Advanced Shopify plan - 59.99,,Honeyskin ,US,info@honeyskin.com,honeyskin-organics-skin-and-hair.myshopify.com
2021-05-04 00:35:52 UTC,Usage charge applied,Shopify plan - 29.99,,SOLAVII,US,smartkip2017@gmail.com,solatouch.myshopify.com
2021-05-04 00:35:53 UTC,Usage charge applied,Shopify plan - 29.99,,Twin Elephant Brewing Company,US,tbesecker@twinelephantbrewing.com,twin-elephant-brewing-company.myshopify.com
2021-05-04 00:35:54 UTC,Usage charge applied,Advanced Shopify plan - 59.99,,Secret Location,CA,hminhas@secretlocation.ca,secretlocation-van.myshopify.com
2021-05-04 00:36:08 UTC,Uninstalled,"",,REDACTED,REDACTED,REDACTED-PII@privacycanary.ca,REDACTED
2021-05-04 00:37:25 UTC,Closed Store,,,iphone acc. shop,US,iphoneaccshop.supp@gmail.com,accessories-jewellery-shop.myshopify.com
2021-05-04 00:38:12 UTC,Closed Store,,,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 00:38:12 UTC,Recurring charge frozen,In Cart Upsell - FLEX - 0.0,,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 00:38:56 UTC,Closed Store,,,heartfryer,FR,heart_fryer2020@hotmail.com,heart-fryer.myshopify.com
2021-05-04 00:46:41 UTC,Closed Store,,,MAVISPAY QUEX,TR,resulkocismeb512@gmail.com,rslonline.myshopify.com
2021-05-04 00:46:55 UTC,Closed Store,,,REBELASHOPPE,MX,rebelashoppe@gmail.com,rebelashoppe.myshopify.com
2021-05-04 00:46:56 UTC,Recurring charge frozen,In Cart Upsell - FLEX - 0.0,,REBELASHOPPE,MX,rebelashoppe@gmail.com,rebelashoppe.myshopify.com
2021-05-04 00:57:10 UTC,Uninstalled,"",,Gift's Gifts,US,giftsgiftslingerie@gmail.com,gift-youu.myshopify.com
2021-05-04 01:00:20 UTC,Closed Store,,,Protech™ by Gameville,PH,gamevillemarketing@gmail.com,protech-by-gameville.myshopify.com
2021-05-04 01:00:21 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,2021-05-13,Protech™ by Gameville,PH,gamevillemarketing@gmail.com,protech-by-gameville.myshopify.com
2021-05-04 01:06:14 UTC,Uninstalled,"",,REDACTED,REDACTED,REDACTED-PII@privacycanary.ca,REDACTED
2021-05-04 01:09:23 UTC,Re-opened Store,,,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 01:09:24 UTC,Recurring charge unfrozen,In Cart Upsell - FLEX - 0.0,2021-06-01,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 01:12:57 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Village Wellness Spas,CA,jessica@villagespas.com,villagespas-boutique.myshopify.com
2021-05-04 01:12:59 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-05-20,Village Wellness Spas,CA,jessica@villagespas.com,villagespas-boutique.myshopify.com
2021-05-04 01:17:11 UTC,Uninstalled,"",,REDACTED,REDACTED,REDACTED-PII@privacycanary.ca,REDACTED
2021-05-04 01:18:57 UTC,Uninstalled,"",,Empire Startups FinTech Conference,US,jon@empirestartups.com,empire-startups-fintech.myshopify.com
2021-05-04 01:28:41 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Jaw Definer®,CA,spaceorbjewelry@gmail.com,thestereopod.myshopify.com
2021-05-04 01:28:43 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-05-31,Jaw Definer®,CA,spaceorbjewelry@gmail.com,thestereopod.myshopify.com
2021-05-04 02:04:21 UTC,Re-opened Store,,,QTforyou,NZ,Operations@qtforyou.com,qtforyou.myshopify.com
2021-05-04 02:27:33 UTC,Installed,,,"Hi-Lighter Room XII, LLC",US,hilighterllc@icloud.com,hi-lighter-llc.myshopify.com
2021-05-04 02:28:29 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,"Hi-Lighter Room XII, LLC",US,hilighterllc@icloud.com,hi-lighter-llc.myshopify.com
2021-05-04 02:28:30 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,"Hi-Lighter Room XII, LLC",US,hilighterllc@icloud.com,hi-lighter-llc.myshopify.com
2021-05-04 02:54:30 UTC,Uninstalled,App is not performing well; NO SALES IN A WEEK WITH THE APP.NOT MANY RETURN CUSTOMERS,,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 02:54:31 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,Halfbreed847,US,halfbreed847@gmail.com,halfbreed847.myshopify.com
2021-05-04 03:23:51 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,PANGEANI,MX,pangeanipro@gmail.com,pangeani.myshopify.com
2021-05-04 03:23:51 UTC,Uninstalled,"",,PANGEANI,MX,pangeanipro@gmail.com,pangeani.myshopify.com
2021-05-04 03:25:31 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,Bikini Baddie,US,bikinibaddieshop@gmail.com,bikini-baddie.myshopify.com
2021-05-04 03:36:21 UTC,Closed Store,,,PinkRubee,CA,mypinkrubee@gmail.com,pinkrubee.myshopify.com
2021-05-04 03:36:23 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,2021-05-05,PinkRubee,CA,mypinkrubee@gmail.com,pinkrubee.myshopify.com
2021-05-04 03:40:40 UTC,Uninstalled,Other,,Crystl.,US,supp.easyfix@gmail.com,butterflyheel.myshopify.com
2021-05-04 03:40:41 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,Crystl.,US,supp.easyfix@gmail.com,butterflyheel.myshopify.com
2021-05-04 03:46:11 UTC,Installed,,,TheProwatches,CN,stevenlan@yahoo.com,theprowatches.myshopify.com
2021-05-04 03:49:52 UTC,Closed Store,,,PCBase,DK,kevin.soliman@shopify.com,pcbase.myshopify.com
2021-05-04 04:04:02 UTC,Closed Store,,,Inked In Culture,CA,inkedinculture@gmail.com,diana-rao.myshopify.com
2021-05-04 04:17:29 UTC,Installed,,,OSHIMM,PE,myoshimmsup@gmail.com,oshimm.myshopify.com
2021-05-04 04:18:39 UTC,Installed,,,Over The Shop Boutique,US,info@overthe.shop,over-the-shop-boutique.myshopify.com
2021-05-04 04:18:41 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,OSHIMM,PE,myoshimmsup@gmail.com,oshimm.myshopify.com
2021-05-04 04:18:42 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,OSHIMM,PE,myoshimmsup@gmail.com,oshimm.myshopify.com
2021-05-04 04:39:46 UTC,Installed,,,Expert Pet.Net,US,nick@feltmarketing.app,expert-pet-net.myshopify.com
2021-05-04 04:40:16 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Expert Pet.Net,US,nick@feltmarketing.app,expert-pet-net.myshopify.com
2021-05-04 04:40:17 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,Expert Pet.Net,US,nick@feltmarketing.app,expert-pet-net.myshopify.com
2021-05-04 04:58:14 UTC,Closed Store,,,Ecom Dashcams & Accessories 17301,US,realtimedashcams@protonmail.com,ecom-dashcams-accessories-17301.myshopify.com
2021-05-04 04:58:29 UTC,Installed,,,dagdealchecker,NL,dagdealchecker@gmail.com,dagdealchecker.myshopify.com
2021-05-04 04:59:30 UTC,Uninstalled,"",,dagdealchecker,NL,dagdealchecker@gmail.com,dagdealchecker.myshopify.com
2021-05-04 05:04:34 UTC,Uninstalled,Voldoet niet aan mijn behoeften,,Dreaming Star,NL,info@mooning-star.com,mooning-star.myshopify.com
2021-05-04 05:04:35 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,Dreaming Star,NL,info@mooning-star.com,mooning-star.myshopify.com
2021-05-04 05:09:53 UTC,Installed,,,smiley forest,FR,info.smileyforest@gmail.com,masktree.myshopify.com
2021-05-04 05:10:41 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,smiley forest,FR,info.smileyforest@gmail.com,masktree.myshopify.com
2021-05-04 05:10:43 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,smiley forest,FR,info.smileyforest@gmail.com,masktree.myshopify.com
2021-05-04 05:52:57 UTC,Re-opened Store,,,Ecom Dashcams & Accessories 17301,US,realtimedashcams@protonmail.com,ecom-dashcams-accessories-17301.myshopify.com
2021-05-04 06:04:58 UTC,Installed,,,"Pink, the little flower shop",US,hong@pinklittleflowershop.com,pinklittleflowershop.myshopify.com
2021-05-04 06:10:52 UTC,Installed,,,buyviraltrends,TH,info.buyviraltrends@gmail.com,buyviraltrends.myshopify.com
2021-05-04 06:12:03 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,buyviraltrends,TH,info.buyviraltrends@gmail.com,buyviraltrends.myshopify.com
2021-05-04 06:12:06 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,buyviraltrends,TH,info.buyviraltrends@gmail.com,buyviraltrends.myshopify.com
2021-05-04 06:15:09 UTC,Uninstalled,"",,buyviraltrends,TH,info.buyviraltrends@gmail.com,buyviraltrends.myshopify.com
2021-05-04 06:15:10 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,buyviraltrends,TH,info.buyviraltrends@gmail.com,buyviraltrends.myshopify.com
2021-05-04 06:44:17 UTC,Uninstalled,"",,Realtime Dashcams,US,realtimedashcams@protonmail.com,ecom-dashcams-accessories-17301.myshopify.com
2021-05-04 07:18:24 UTC,Installed,,,CAR CRAFT INDIA,IN,info@carcraftindia.com,car-craft-india.myshopify.com
2021-05-04 07:18:43 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,CAR CRAFT INDIA,IN,info@carcraftindia.com,car-craft-india.myshopify.com
2021-05-04 07:18:45 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,CAR CRAFT INDIA,IN,info@carcraftindia.com,car-craft-india.myshopify.com
2021-05-04 07:20:59 UTC,Closed Store,,,Skyy Motherfuckin Diamond,AU,skyy_diamond@hotmail.com,skyy-motherfuckin-diamond.myshopify.com
2021-05-04 07:26:00 UTC,Closed Store,,,Utility's Home,BR,oliveira.gao22@gmail.com,hallo-eletro.myshopify.com
2021-05-04 07:26:58 UTC,Installed,,,Lively Grow,US,lucifer7624@gmail.com,lively-grow.myshopify.com
2021-05-04 07:36:13 UTC,Installed,,,NanoHead,IT,nanotechnanotechnology@gmail.com,malditesta.myshopify.com
2021-05-04 07:37:44 UTC,Installed,,,ihiM Est. Culture Limited,NZ,ihimculture@gmail.com,ihim-est-culture-limited.myshopify.com
2021-05-04 07:37:59 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,NanoHead,IT,nanotechnanotechnology@gmail.com,malditesta.myshopify.com
2021-05-04 07:38:00 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,NanoHead,IT,nanotechnanotechnology@gmail.com,malditesta.myshopify.com
2021-05-04 07:46:56 UTC,Installed,,,DoctorNeck,IT,hellotravellingworld@gmail.com,neck1234.myshopify.com
2021-05-04 08:51:46 UTC,Installed,,,Clearbot,FR,clearbot.shop@outlook.com,clearbotstore.myshopify.com
2021-05-04 08:52:02 UTC,Recurring charge accepted,In Cart Upsell - FLEX - 0.0,,Clearbot,FR,clearbot.shop@outlook.com,clearbotstore.myshopify.com
2021-05-04 08:52:03 UTC,Recurring charge activated,In Cart Upsell - FLEX - 0.0,2021-06-03,Clearbot,FR,clearbot.shop@outlook.com,clearbotstore.myshopify.com
2021-05-04 08:56:40 UTC,Recurring charge cancelled,In Cart Upsell - FLEX - 0.0,,NanoHead,IT,nanotechnanotechnology@gmail.com,malditesta.myshopify.com
2021-05-04 08:56:40 UTC,Uninstalled,"",,NanoHead,IT,nanotechnanotechnology@gmail.com,malditesta.myshopify.com
2021-05-04 09:12:10 UTC,Closed Store,,,VEVOX,DE,info@vevox.de,vevox-atemschutz-shop.myshopify.com
2021-05-04 09:21:44 UTC,Installed,,,Fairytale Jewelry,RO,fairytalejewelry.ro@gmail.com,jewels-vogue.myshopify.com
2021-05-04 09:22:47 UTC,Uninstalled,Other,,Fairytale Jewelry,RO,fairytalejewelry.ro@gmail.com,jewels-vogue.myshopify.com
2021-05-04 09:43:14 UTC,Closed Store,,,Veganourish,AU,veganourish@gmail.com,veganourish.myshopify.com
2021-05-04 09:49:02 UTC,Installed,,,For Rowan,US,mark.shopifyexpert@gmail.com,forrowan-bitcot.myshopify.com
2021-05-04 10:01:47 UTC,Installed,,,HYDROCARE™,FR,contact@get-hydrocare.com,hydrocare59.myshopify.com
